Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score,Previous_Scores
20,89,High,High,Yes,10,Low,Yes,3,Medium,Private,Neutral,3,No,Male,72,91
19,89,High,Low,Yes,7,Medium,Yes,2,Low,Public,Positive,4,Yes,Female,68,64
17,64,Low,High,No,7,Medium,Yes,1,Medium,Public,Negative,3,No,Female,62,69
24,89,Low,High,Yes,6,Medium,Yes,1,Low,Private,Neutral,2,No,Male,68,60
26,87,Medium,Medium,Yes,8,High,Yes,1,Low,Public,Negative,2,No,Male,71,82
21,93,Medium,Low,Yes,7,Low,No,1,High,Public,Neutral,3,Yes,Male,67,83
29,62,Low,High,Yes,7,High,Yes,0,Low,Private,Positive,3,No,Female,65,53
13,61,Low,Medium,Yes,8,High,No,1,Medium,Public,Neutral,3,Yes,Male,60,84
19,75,Medium,High,Yes,8,High,Yes,2,High,Public,Neutral,2,No,Male,68,83
16,66,Low,Medium,Yes,9,Medium,Yes,1,Medium,Public,Negative,3,Yes,Male,59,52
9,82,High,Medium,No,8,Medium,Yes,0,High,Public,Neutral,0,No,Female,64,78
20,97,High,Medium,Yes,6,High,Yes,2,Low,Public,Neutral,3,No,Male,71,81
19,76,High,High,No,4,Low,Yes,2,High,Public,Neutral,2,No,Female,68,72
29,94,Low,Medium,Yes,7,Medium,No,2,Low,Public,Neutral,3,Yes,Male,70,95
24,60,Low,Low,No,7,Medium,Yes,1,Medium,Public,Neutral,4,No,Female,62,66
14,67,Medium,Medium,No,10,Medium,Yes,2,High,Public,Neutral,3,No,Male,62,53
31,61,High,Medium,No,7,Medium,Yes,2,Medium,Private,Neutral,3,No,Male,68,84
27,73,Medium,Medium,No,8,Low,Yes,3,Medium,Private,Negative,3,No,Female,68,80
23,96,Medium,Medium,Yes,8,High,Yes,3,Low,Public,Positive,4,No,Female,74,99
19,64,Low,Medium,No,8,Medium,Yes,0,High,Public,Positive,4,Yes,Male,61,62
14,84,Medium,Medium,Yes,8,Medium,Yes,1,Low,Public,Neutral,5,No,Male,67,70
18,78,Medium,Low,No,6,Medium,Yes,1,High,Public,Positive,2,No,Female,65,73
27,98,Low,Medium,Yes,6,Low,No,5,High,Public,Positive,3,No,Female,101,93
31,65,Medium,Low,Yes,7,Medium,Yes,1,Low,Public,Neutral,4,No,Male,65,71
29,68,Medium,Medium,No,4,Medium,Yes,0,Medium,Private,Neutral,4,Yes,Male,67,89
17,61,Medium,High,Yes,7,Low,Yes,2,Low,Public,Positive,3,Yes,Female,61,58
13,77,Medium,Medium,No,6,Medium,Yes,3,Medium,Public,Neutral,4,Yes,Male,64,70
21,71,High,Low,No,7,High,Yes,1,Medium,Public,Positive,3,Yes,Female,64,58
9,95,Medium,Medium,Yes,7,Medium,Yes,1,Low,Public,Neutral,2,No,Male,67,97
22,84,Medium,Medium,Yes,5,Medium,Yes,0,High,Private,Positive,3,No,Female,69,59
19,85,High,Medium,Yes,9,Low,Yes,1,Medium,Public,Positive,2,No,Female,69,71
17,81,High,Medium,No,7,Medium,Yes,4,Low,Public,Positive,3,No,Female,67,54
10,64,Medium,High,No,8,Medium,Yes,1,Medium,Public,Neutral,3,No,Male,62,96
23,78,Low,High,No,7,Medium,Yes,0,Low,Private,Neutral,1,No,Male,66,81
17,100,High,Medium,No,8,Low,Yes,0,Medium,Public,Positive,4,No,Male,72,98
13,93,Medium,Medium,Yes,5,Low,Yes,2,Medium,Public,Positive,3,No,Female,67,52
3,96,High,High,Yes,9,Medium,Yes,2,Low,Public,Negative,3,No,Female,66,59
20,93,Low,Low,Yes,8,Medium,Yes,2,Low,Public,Neutral,4,No,Male,67,69
31,64,High,Low,Yes,7,Low,Yes,1,Medium,Public,Positive,4,No,Female,67,81
30,69,Medium,Medium,Yes,7,Medium,Yes,0,Medium,Public,Positive,4,No,Female,68,66
17,60,High,Medium,Yes,9,Medium,Yes,0,Low,Public,Positive,2,No,Male,63,86
16,72,Medium,High,No,6,Low,Yes,1,Medium,Public,Negative,2,No,Male,62,58
23,64,High,Medium,Yes,5,Low,Yes,3,Medium,Public,Negative,2,Yes,Female,65,80
14,79,Medium,Medium,Yes,6,Medium,Yes,1,Low,Public,Positive,6,No,Male,65,70
22,87,Medium,High,Yes,7,Medium,Yes,0,Medium,Public,Positive,2,Yes,Female,70,75
25,95,Low,Medium,No,7,Medium,Yes,7,Low,Public,Positive,4,No,Male,73,78
27,90,High,Medium,Yes,9,Medium,Yes,1,Medium,Public,Positive,2,No,Female,73,53
19,98,Medium,Low,Yes,6,Medium,No,2,Low,Private,Negative,2,No,Male,68,96
19,62,Medium,Low,No,6,High,Yes,3,Medium,Public,Positive,1,No,Male,63,89
15,60,Medium,Low,Yes,5,High,Yes,2,High,Public,Positive,2,No,Male,62,72
15,86,High,Medium,Yes,8,Medium,Yes,0,Medium,Public,Positive,3,No,Male,69,77
19,72,Medium,High,No,5,Medium,Yes,2,Medium,Public,Neutral,3,No,Male,66,52
22,70,Medium,High,Yes,8,High,Yes,0,Medium,Private,Positive,3,No,Male,68,75
25,73,High,Medium,Yes,6,Low,Yes,0,Low,Private,Positive,3,No,Female,67,71
15,71,High,High,Yes,6,Low,Yes,2,Low,Private,Negative,4,No,Female,65,69
29,80,Low,Medium,Yes,10,High,No,1,High,Public,Positive,3,No,Male,70,91
18,78,Low,Medium,Yes,9,High,No,0,High,Private,Positive,1,No,Female,64,59
20,80,Low,Low,Yes,7,High,Yes,2,Medium,Private,Neutral,3,No,Male,65,59
16,87,Medium,Medium,No,5,High,Yes,1,Low,Private,Neutral,2,No,Female,67,76
5,75,Medium,Low,Yes,10,Medium,Yes,0,High,Private,Neutral,4,No,Female,62,84
25,70,Medium,Medium,Yes,7,High,Yes,3,Low,Public,Positive,4,No,Male,66,51
24,67,High,High,Yes,7,Low,Yes,0,High,Public,Positive,2,No,Female,68,77
18,74,Medium,Low,No,8,High,Yes,0,Medium,Public,Positive,4,No,Female,64,65
20,90,High,Low,No,4,Medium,Yes,3,Low,Public,Negative,3,No,Male,69,88
23,90,Medium,Medium,Yes,6,Low,No,1,High,Private,Positive,2,No,Female,69,73
11,87,Medium,Medium,Yes,7,Medium,Yes,1,Medium,Public,Positive,5,No,Female,67,92
17,69,Medium,Medium,Yes,7,Low,Yes,0,Low,Public,Neutral,3,Yes,Male,61,70
25,84,High,Medium,Yes,5,Low,Yes,1,Medium,Public,Positive,4,Yes,Female,70,91
12,83,Low,Medium,Yes,7,Low,Yes,1,High,Public,Negative,4,No,Female,65,86
22,79,Medium,Medium,Yes,7,Low,Yes,0,Low,Public,Positive,4,Yes,Male,66,91
12,82,Low,Medium,Yes,10,Medium,Yes,3,Low,Public,Negative,3,No,Male,66,91
23,80,Medium,High,Yes,9,Medium,Yes,4,Medium,Public,Negative,3,No,Male,69,74
20,83,Medium,Medium,Yes,7,High,Yes,1,Medium,Public,Positive,1,No,Female,67,68
10,89,High,High,Yes,7,Medium,Yes,2,High,Private,Positive,2,No,Female,71,88
27,64,High,High,Yes,9,High,Yes,1,Low,Private,Neutral,4,No,Male,68,68
16,90,Medium,Medium,No,7,High,No,2,Medium,Public,Positive,3,No,Female,67,54
15,65,High,Medium,No,5,Low,Yes,2,Low,Public,Neutral,4,Yes,Female,63,93
21,63,Medium,Medium,No,10,Low,Yes,1,High,Private,Positive,2,No,Female,64,70
27,99,High,Medium,Yes,6,Medium,Yes,3,Low,Public,Neutral,3,No,Male,73,57
14,98,Medium,Medium,Yes,10,High,Yes,1,Low,Private,Positive,3,No,Male,69,82
20,62,High,Low,No,8,High,Yes,1,Medium,Public,Positive,3,No,Female,65,94
23,78,High,Low,Yes,6,Medium,Yes,0,Medium,Private,Positive,5,No,Male,70,93
24,67,High,Medium,Yes,4,Low,Yes,1,Low,Public,Positive,2,No,Female,67,78
21,79,Medium,Low,Yes,8,High,Yes,3,Low,Public,Positive,3,No,Female,67,54
18,93,Medium,High,Yes,5,Medium,Yes,0,Low,Public,Positive,3,No,Male,70,85
15,98,High,Low,No,8,Low,No,2,High,Public,Negative,2,No,Female,69,80
21,85,High,Medium,No,10,High,Yes,2,Medium,Public,Neutral,2,Yes,Male,68,61
14,74,Medium,High,No,5,High,Yes,1,Low,Public,Positive,3,Yes,Male,66,95
2,84,Low,High,No,8,Low,Yes,3,Low,Public,Positive,4,No,Male,62,54
23,72,Medium,Medium,Yes,6,Low,Yes,2,High,Public,Positive,4,No,Male,67,69
25,96,Medium,Low,Yes,9,High,Yes,2,Medium,Public,Neutral,4,No,Male,71,55
6,95,High,Medium,Yes,7,Medium,Yes,4,Low,Public,Neutral,2,No,Female,68,96
14,82,High,Medium,Yes,7,High,Yes,3,Low,Public,Negative,2,No,Female,66,52
24,73,Low,Medium,Yes,9,High,Yes,0,Low,Public,Neutral,3,No,Male,64,71
32,72,High,Medium,Yes,8,Low,Yes,1,Low,Private,Neutral,4,No,Female,71,93
20,61,Low,Low,Yes,6,Medium,Yes,1,Medium,Public,Positive,4,No,Male,61,63
16,93,Medium,High,No,10,Medium,No,2,Low,Public,Neutral,2,No,Male,67,55
19,78,Medium,Low,Yes,5,Low,Yes,3,High,Public,Neutral,4,No,Female,65,56
28,73,High,Medium,Yes,7,Low,No,0,Low,Private,Negative,6,No,Female,66,70
16,79,High,High,Yes,6,Medium,Yes,2,Low,Public,Neutral,4,No,Female,68,71
15,93,Medium,Medium,No,5,Medium,Yes,0,Low,Public,Neutral,2,No,Male,66,86
17,65,Medium,Medium,No,5,Medium,Yes,2,Medium,Public,Positive,4,No,Female,63,62
14,94,Low,Low,Yes,7,Low,Yes,1,High,Public,Neutral,3,No,Female,66,85
21,96,Medium,High,No,8,Medium,Yes,1,High,Private,Positive,2,No,Female,73,100
30,98,Medium,Low,Yes,9,Medium,Yes,1,Low,Private,Positive,3,No,Male,88,93
22,76,Medium,Medium,No,9,High,Yes,0,Medium,Private,Neutral,4,No,Male,67,82
18,69,High,High,Yes,7,Medium,Yes,2,Medium,Public,Positive,2,No,Female,69,97
18,75,Medium,Low,Yes,6,High,Yes,2,Low,Public,Positive,3,No,Female,67,100
11,73,Medium,High,Yes,9,Medium,Yes,1,Low,Public,Neutral,2,No,Male,64,79
25,67,Medium,High,Yes,6,Medium,No,0,Low,Public,Neutral,2,No,Male,64,64
20,84,Low,Medium,No,5,Low,Yes,1,Low,Public,Negative,2,No,Male,65,96
19,79,Medium,Medium,No,8,High,Yes,1,Medium,Public,Positive,2,No,Male,68,92
39,95,Medium,High,Yes,9,High,Yes,2,Medium,Private,Positive,3,No,Male,77,54
22,61,Medium,Medium,Yes,6,High,Yes,0,Low,Public,Negative,2,Yes,Male,63,97
15,86,High,High,Yes,10,Medium,Yes,0,High,Public,Neutral,5,No,Male,69,68
17,91,Medium,Medium,Yes,8,Medium,Yes,3,Medium,Public,Positive,2,No,Male,69,66
27,90,Medium,Low,No,8,Medium,Yes,2,Medium,Public,Negative,3,No,Male,70,67
21,95,High,Medium,Yes,6,High,Yes,1,Medium,Public,Positive,4,No,Male,73,66
11,89,Medium,Low,Yes,9,Medium,Yes,1,Medium,Public,Neutral,3,No,Male,66,76
26,97,Medium,Low,No,5,High,Yes,2,Low,Private,Positive,3,No,Female,71,79
16,73,Medium,Low,Yes,6,Medium,Yes,2,High,Public,Positive,5,No,Male,66,71
31,80,Medium,Medium,Yes,6,High,Yes,2,Low,Public,Neutral,3,No,Female,71,71
26,61,Medium,Low,Yes,5,Medium,Yes,3,High,Public,Positive,2,Yes,Male,66,87
17,60,Medium,High,Yes,8,High,Yes,0,Low,Public,Positive,4,No,Female,63,50
28,70,High,High,Yes,8,Medium,Yes,5,Low,Public,Negative,5,Yes,Male,70,97
20,64,High,Medium,Yes,8,Medium,Yes,1,Medium,Public,Neutral,2,No,Male,66,86
25,70,Medium,Medium,No,7,Medium,Yes,1,Medium,Public,Negative,4,No,Male,66,85
23,67,Medium,Medium,No,8,High,Yes,2,Medium,Public,Neutral,4,No,Female,66,71
15,61,Medium,Medium,No,7,Medium,Yes,1,Medium,Public,Neutral,3,No,Male,62,98
16,96,Medium,Medium,No,6,High,Yes,1,Medium,Public,Positive,3,No,Male,69,50
26,60,Low,High,Yes,6,Low,Yes,1,Low,Private,Positive,1,No,Male,63,54
18,89,Medium,Low,Yes,4,Low,Yes,1,High,Public,Positive,2,Yes,Female,68,90
18,66,Medium,High,No,9,Medium,Yes,1,Medium,Private,Positive,3,No,Male,64,87
14,96,Low,High,Yes,9,High,Yes,2,Low,Public,Neutral,3,No,Male,69,64
23,96,Low,Medium,Yes,10,Low,Yes,3,Low,Public,Positive,3,No,Male,71,80
32,86,Medium,Medium,Yes,6,Medium,No,2,Medium,Private,Negative,4,No,Male,71,77
14,87,Medium,Medium,No,6,Medium,Yes,1,Low,Private,Positive,4,No,Female,66,76
20,60,Medium,Medium,Yes,4,Low,Yes,2,High,Private,Positive,3,Yes,Male,63,80
28,99,Low,Medium,Yes,8,Low,Yes,0,Medium,Public,Positive,2,No,Male,72,100
20,95,Medium,Medium,Yes,8,Low,No,1,Low,Private,Neutral,3,No,Female,70,99
23,96,Medium,Low,No,9,Medium,Yes,0,High,Private,Neutral,2,No,Female,71,99
14,86,Low,Low,Yes,6,Medium,Yes,3,High,Private,Neutral,3,No,Male,65,77
23,74,Medium,Low,Yes,8,Low,Yes,0,High,Public,Negative,4,No,Female,65,66
19,96,Low,Medium,No,6,High,Yes,1,Low,Public,Positive,2,No,Male,67,78
26,72,High,Medium,No,9,High,Yes,0,Medium,Public,Neutral,3,No,Male,68,81
27,83,Medium,Medium,Yes,8,Medium,Yes,3,Medium,Public,Positive,4,No,Female,70,66
36,64,Medium,Medium,Yes,5,Medium,Yes,2,Medium,Private,Positive,2,No,Female,70,82
23,97,Low,High,Yes,7,Low,Yes,2,Medium,Public,Neutral,3,No,Male,72,81
22,66,Medium,High,No,4,Medium,Yes,1,Low,Public,Neutral,5,No,Male,65,95
21,69,Medium,Medium,Yes,5,High,Yes,2,Low,Public,Positive,3,No,Male,65,62
18,82,High,Medium,Yes,5,High,Yes,3,Medium,Private,Neutral,4,No,Male,71,85
22,91,High,High,Yes,6,Low,Yes,3,High,Public,Positive,4,No,Male,74,73
18,85,Low,Medium,No,7,Low,Yes,0,Low,Private,Positive,4,No,Male,64,56
21,69,Medium,Medium,No,7,High,Yes,1,Medium,Private,Neutral,4,No,Female,64,66
28,60,Medium,High,Yes,7,Low,Yes,3,Low,Private,Neutral,3,No,Female,65,53
14,90,Low,Medium,Yes,7,Medium,Yes,1,Medium,Public,Neutral,5,No,Male,67,66
27,99,High,Medium,No,7,Low,Yes,2,Low,Public,Neutral,3,No,Male,73,53
28,92,Low,High,No,5,High,Yes,1,Medium,Public,Neutral,3,No,Male,72,96
19,78,Medium,Medium,No,7,Low,Yes,0,Medium,Public,Positive,3,No,Male,65,55
7,96,Medium,High,No,9,Medium,Yes,0,Low,Public,Neutral,4,No,Male,67,91
16,76,Medium,Medium,Yes,7,Low,Yes,2,Medium,Public,Negative,3,No,Female,66,95
28,81,High,Medium,Yes,8,Low,Yes,0,Medium,Public,Negative,3,No,Male,70,73
20,79,High,Medium,No,8,Medium,Yes,2,Medium,Private,Neutral,3,No,Female,66,53
14,78,High,High,Yes,8,Low,Yes,1,Medium,Public,Neutral,1,No,Female,66,80
17,91,Medium,Low,Yes,7,Low,Yes,3,High,Public,Negative,3,No,Male,68,62
25,81,Low,Medium,Yes,8,Low,Yes,3,Low,Public,Positive,4,No,Male,68,59
23,73,High,High,No,8,Low,Yes,0,High,Public,Neutral,4,No,Female,67,78
19,70,High,Medium,Yes,8,High,No,1,Low,Public,Positive,3,No,Female,65,68
18,62,Medium,Low,Yes,8,Medium,Yes,4,Low,Public,Positive,4,No,Female,64,87
18,83,High,Medium,No,5,High,Yes,1,High,Public,Positive,2,No,Male,70,80
14,69,Low,Medium,No,5,Medium,Yes,0,High,Public,Positive,3,No,Male,63,91
30,66,Medium,High,No,6,Low,No,2,Low,Public,Positive,2,No,Male,65,53
18,86,Low,Medium,Yes,9,Medium,Yes,4,Medium,Public,Negative,2,Yes,Female,67,62
27,87,Medium,Medium,Yes,7,Low,Yes,3,Low,Private,Negative,5,No,Female,71,78
29,90,High,Medium,Yes,7,Medium,Yes,1,Low,Private,Neutral,4,No,Female,73,94
26,80,Medium,Medium,No,4,Low,Yes,1,Low,Private,Neutral,3,No,Male,67,91
17,96,High,Medium,Yes,7,Medium,Yes,2,Low,Private,Positive,3,No,Female,72,84
22,97,Medium,Medium,No,7,High,Yes,2,Medium,Public,Positive,0,No,Male,71,79
20,92,Medium,High,Yes,4,High,Yes,0,Medium,Public,Neutral,4,No,Male,72,82
15,85,High,High,Yes,7,Medium,Yes,1,Medium,Public,Negative,3,No,Male,68,61
22,72,Low,Low,Yes,5,Medium,Yes,2,Low,Public,Neutral,3,No,Female,65,80
13,99,High,Medium,No,6,Low,Yes,1,Medium,Public,Positive,4,Yes,Female,68,75
27,71,Medium,Low,No,8,Medium,Yes,1,High,Public,Positive,4,No,Male,67,69
17,68,Medium,Medium,No,7,High,Yes,1,High,Private,Neutral,4,No,Female,66,94
21,78,Medium,Low,Yes,6,Medium,Yes,0,Medium,Private,Neutral,1,Yes,Male,64,91
22,62,High,Medium,No,6,Medium,Yes,3,Low,Private,Neutral,3,No,Male,65,54
18,99,Medium,Medium,No,6,Medium,Yes,0,Low,Public,Neutral,3,No,Male,69,99
24,84,Medium,Medium,Yes,7,Medium,Yes,2,Medium,Public,Positive,2,No,Male,68,61
17,82,High,High,No,5,Medium,Yes,3,Medium,Public,Neutral,4,No,Male,69,61
25,86,Medium,Medium,Yes,9,Low,Yes,1,High,Private,Neutral,3,No,Male,70,97
12,80,High,Medium,No,5,Medium,Yes,1,High,Private,Positive,4,Yes,Female,65,72
21,61,Medium,Medium,No,4,Low,Yes,2,Medium,Public,Neutral,3,No,Male,63,90
32,84,Low,Medium,Yes,8,Medium,Yes,1,Low,Private,Positive,3,No,Female,71,64
14,89,Medium,High,Yes,6,Low,Yes,0,Low,Private,Neutral,2,No,Male,68,94
16,77,Medium,Medium,Yes,7,High,Yes,5,Low,Public,Positive,3,No,Female,70,92
23,90,Medium,High,Yes,8,High,Yes,2,Medium,Public,Positive,3,No,Female,72,76
21,69,Medium,Medium,Yes,6,Medium,Yes,3,Low,Public,Neutral,1,No,Female,64,85
22,69,Low,Medium,No,7,Low,Yes,0,Low,Public,Positive,2,No,Male,64,98
23,66,Medium,Low,Yes,8,High,Yes,2,High,Public,Positive,2,No,Female,66,73
24,75,Medium,High,Yes,9,High,Yes,0,Medium,Public,Positive,3,No,Male,69,75
27,94,Medium,Low,No,6,Medium,Yes,2,Medium,Private,Neutral,2,No,Female,71,86
22,93,Medium,High,Yes,6,High,Yes,0,High,Public,Negative,3,Yes,Male,69,69
19,75,High,Medium,No,8,Low,Yes,1,Low,Public,Neutral,3,No,Male,67,98
24,84,Low,Medium,Yes,7,Medium,Yes,0,Low,Public,Neutral,3,No,Male,66,52
31,89,Medium,Medium,No,7,Medium,Yes,2,Low,Public,Positive,2,No,Female,71,70
19,70,Medium,Low,Yes,9,Low,Yes,2,High,Public,Neutral,2,Yes,Male,63,86
14,67,Medium,Low,No,4,Medium,Yes,0,High,Public,Neutral,4,No,Female,62,71
27,99,Medium,High,No,5,Medium,Yes,0,Medium,Public,Neutral,4,No,Female,73,63
19,85,High,Medium,No,4,Low,Yes,1,Medium,Public,Negative,3,No,Female,66,71
7,99,High,Medium,Yes,9,Medium,Yes,3,High,Public,Positive,2,No,Male,72,94
25,74,High,Low,Yes,8,Low,Yes,1,Low,Public,Neutral,2,No,Female,67,77
17,88,Low,Low,No,5,Medium,No,0,Medium,Public,Neutral,3,No,Male,65,67
19,69,Medium,Medium,Yes,7,Medium,Yes,2,Medium,Public,Neutral,4,No,Male,66,84
22,70,High,Medium,Yes,7,Low,Yes,3,Medium,Public,Neutral,2,No,Female,68,81
21,80,Medium,High,Yes,4,Medium,Yes,1,Medium,Private,Neutral,4,No,Female,69,78
24,73,High,Medium,Yes,7,Medium,Yes,0,High,Public,Negative,3,No,Female,68,70
17,67,Medium,High,Yes,5,Medium,Yes,0,Low,Public,Negative,2,No,Male,61,54
23,71,High,Low,Yes,8,Medium,Yes,3,Medium,Private,Positive,2,No,Male,68,81
18,61,High,Low,Yes,5,Low,Yes,3,High,Private,Neutral,3,No,Male,64,71
24,88,Medium,Low,Yes,7,Low,No,1,Low,Public,Neutral,3,No,Male,67,71
24,80,Low,High,Yes,9,High,Yes,3,High,Public,Neutral,3,No,Male,68,62
14,64,Medium,High,No,8,Low,Yes,1,Medium,Public,Positive,4,Yes,Male,61,62
27,67,High,Low,No,8,Low,Yes,1,Low,Public,Positive,3,No,Female,66,89
17,64,High,Low,Yes,7,Low,Yes,2,Medium,Public,Positive,2,No,Female,64,74
25,85,Low,Medium,No,5,Low,Yes,3,High,Public,Negative,3,No,Female,67,55
22,64,Medium,High,No,6,Low,Yes,2,High,Private,Negative,4,No,Female,64,52
31,90,High,High,No,7,Low,Yes,0,Low,Public,Positive,3,No,Male,72,61
19,61,Medium,Medium,No,7,Low,Yes,2,High,Public,Negative,3,No,Male,62,74
18,70,High,Medium,Yes,5,Low,Yes,2,Low,Private,Negative,2,No,Female,63,81
20,96,High,High,No,8,Low,Yes,1,Low,Private,Neutral,4,No,Male,70,57
18,89,High,Medium,No,5,Low,Yes,3,Medium,Public,Positive,3,No,Male,69,72
25,63,Low,Medium,Yes,9,Medium,Yes,3,Medium,Public,Positive,2,No,Male,64,54
10,93,Low,Medium,No,7,Medium,Yes,2,Medium,Public,Positive,3,No,Male,66,52
14,80,Low,Medium,Yes,8,Medium,Yes,3,Low,Private,Positive,4,No,Female,67,93
14,94,High,High,Yes,8,Medium,Yes,4,Medium,Public,Negative,5,Yes,Female,71,83
26,84,Medium,High,Yes,10,Medium,Yes,0,Low,Private,Positive,1,No,Female,70,89
30,87,Low,Medium,No,7,Medium,Yes,2,Medium,Public,Neutral,3,No,Male,69,59
19,100,Medium,Low,No,6,High,Yes,0,Low,Public,Neutral,3,No,Male,68,66
19,69,Medium,High,Yes,6,Medium,No,1,Low,Public,Neutral,1,No,Female,64,72
20,85,High,Medium,Yes,9,Low,Yes,3,Medium,Public,Positive,3,Yes,Male,70,83
27,78,High,Low,Yes,5,Medium,Yes,0,Medium,Private,Neutral,3,No,Male,69,77
14,62,Medium,Medium,Yes,6,Medium,Yes,0,High,Public,Positive,2,No,Female,63,78
21,61,Low,Medium,No,7,Medium,Yes,1,Medium,Public,Negative,3,No,Female,60,58
26,65,High,Low,No,7,Medium,Yes,2,Low,Public,Negative,4,No,Female,65,74
23,86,Medium,Medium,No,8,Medium,Yes,0,Low,Public,Negative,0,No,Male,67,91
21,83,Medium,Low,No,5,Low,Yes,1,Medium,Public,Negative,4,No,Male,66,75
26,82,Low,High,No,7,Medium,No,3,Low,Public,Neutral,3,No,Female,68,60
4,61,Low,High,Yes,7,High,Yes,0,Low,Public,Positive,1,No,Male,58,71
24,79,Low,High,Yes,5,Medium,Yes,0,Medium,Public,Neutral,3,No,Female,67,88
16,97,Medium,Medium,Yes,8,Low,Yes,0,Medium,Public,Positive,4,Yes,Male,68,57
9,76,Medium,Medium,Yes,7,Medium,Yes,1,Low,Public,Neutral,3,No,Female,62,79
23,85,Low,High,No,7,High,No,2,Low,Public,Negative,3,No,Female,69,98
28,91,Medium,High,Yes,6,High,Yes,1,Medium,Private,Neutral,4,No,Male,73,69
19,91,High,Low,No,6,Medium,Yes,2,Low,Public,Negative,4,Yes,Male,66,52
26,81,Low,Medium,Yes,5,Medium,Yes,0,Medium,Public,Negative,5,Yes,Female,67,82
30,94,Medium,Medium,No,8,Medium,Yes,1,Medium,Public,Neutral,4,No,Female,71,52
28,76,Medium,Medium,Yes,9,Medium,Yes,1,Low,Public,Neutral,2,No,Male,66,60
30,96,High,Medium,Yes,10,Medium,Yes,0,High,Public,Positive,4,No,Female,74,52
24,70,Medium,High,No,8,Low,Yes,2,Low,Public,Positive,5,No,Male,67,59
20,71,High,Medium,No,6,High,Yes,2,Medium,Public,Negative,2,No,Male,68,93
10,62,Medium,Medium,No,6,High,Yes,2,Low,Public,Neutral,3,No,Male,61,87
19,92,Medium,High,No,8,Medium,Yes,2,Medium,Private,Negative,2,No,Female,69,67
15,77,Low,Medium,Yes,7,Low,Yes,4,Low,Public,Positive,4,No,Male,65,95
33,69,Medium,High,Yes,7,Medium,Yes,2,Medium,Public,Neutral,2,No,Male,71,83
19,69,Medium,Low,No,7,Medium,Yes,1,Low,Public,Positive,2,No,Female,61,72
21,96,Medium,High,Yes,9,Medium,Yes,0,Low,Public,Neutral,3,No,Male,70,53
23,93,Medium,Low,No,6,Medium,Yes,2,Medium,Private,Neutral,3,No,Male,70,87
20,82,Medium,High,Yes,9,Low,Yes,1,Medium,Public,Positive,3,No,Male,69,69
30,85,High,Low,Yes,7,High,Yes,2,Low,Public,Negative,3,No,Female,70,65
16,79,High,Medium,Yes,6,Medium,Yes,4,Low,Public,Positive,4,Yes,Male,67,64
21,76,Low,Medium,No,6,Low,Yes,2,Low,Public,Negative,4,No,Female,63,50
16,97,Medium,Medium,No,7,Medium,Yes,1,High,Public,Neutral,3,No,Female,70,87
12,65,Medium,Medium,No,8,Medium,Yes,1,High,Private,Positive,5,Yes,Female,61,57
16,77,Low,High,Yes,6,Low,Yes,1,Low,Public,Neutral,1,No,Female,64,76
20,74,Medium,Medium,Yes,8,High,Yes,2,Medium,Public,Negative,3,No,Male,65,51
17,80,Medium,Medium,No,6,Medium,Yes,1,Medium,Public,Neutral,1,No,Male,65,81
16,78,Medium,Low,Yes,7,High,Yes,3,Low,Private,Positive,3,No,Female,66,68
12,81,High,High,Yes,5,Low,Yes,1,Medium,Public,Positive,3,No,Female,66,82
20,66,Low,Medium,Yes,8,Medium,Yes,2,Medium,Public,Positive,2,No,Male,63,54
11,81,Low,High,Yes,7,Medium,Yes,3,Medium,Public,Neutral,2,No,Male,66,63
25,70,Medium,Medium,Yes,9,High,Yes,0,Low,Public,Positive,1,No,Male,64,56
20,67,High,Low,No,8,Medium,Yes,3,Low,Public,Neutral,4,Yes,Male,65,82
11,63,High,Medium,No,7,Low,Yes,3,High,Private,Positive,1,No,Male,62,55
18,91,Low,High,Yes,9,High,Yes,4,High,Public,Neutral,5,No,Male,71,81
15,77,Medium,Medium,Yes,8,Low,Yes,1,Low,Public,Neutral,2,No,Male,63,57
22,85,Medium,High,No,9,High,Yes,0,Medium,Public,Negative,3,No,Male,70,97
28,89,Medium,Low,Yes,6,Low,Yes,2,Low,Private,Neutral,4,No,Male,70,71
9,87,Medium,Medium,No,8,Medium,Yes,1,Medium,Public,Positive,3,No,Female,65,56
21,79,High,High,Yes,8,Medium,Yes,1,Low,Public,Neutral,3,Yes,Female,66,52
19,76,Medium,Low,Yes,5,Medium,Yes,2,Medium,Private,Positive,4,No,Female,66,66
24,75,Medium,Low,No,9,High,Yes,0,Medium,Public,Positive,2,No,Male,68,95
21,86,High,High,No,5,Medium,Yes,1,Low,Private,Negative,3,No,Male,68,57
15,80,High,Medium,Yes,5,Medium,Yes,4,Medium,Private,Neutral,3,No,Female,69,90
18,94,Medium,Medium,Yes,4,Medium,Yes,3,High,Public,Positive,3,No,Female,71,71
15,95,Medium,Medium,Yes,8,Low,Yes,2,Low,Private,Negative,1,No,Male,69,90
26,67,Medium,High,Yes,5,Medium,Yes,0,Medium,Public,Positive,2,No,Male,68,94
20,65,Medium,High,Yes,6,Medium,Yes,2,Low,Public,Neutral,5,No,Male,67,100
